carrier,origin,dest,flightnumber,tailnu,date,dayweek,daymonth,YEAR,MONTH,DAY,weather,distance,delay,SCHEDULED_DEPARTURE,DEPARTURE_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DELAY_LABEL,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,delaytimeweathergood,delaytimeweatherbad
US,DCA,LGA,1479,N767UW,1/8/2004,4,8,2015,1,28,0,214,delayed,620,627,930,926,-4,,11,190,190,161,14.39,164.04
US,DCA,LGA,2160,N727UW,1/8/2004,4,8,2015,1,28,0,214,delayed,620,658,1415,1352,-23,,0,295,295,248,14.41,164.05
US,DCA,LGA,2162,N725UW,1/8/2004,4,8,2015,1,28,0,214,ontime,620,756,1230,1201,-29,,-3,250,250,200,14.41,164.045
US,DCA,LGA,2164,N744UW,1/8/2004,4,8,2015,1,28,0,214,ontime,620,856,920,910,-10,,-5,120,120,89,14.38,164.015
US,DCA,LGA,2166,N719UW,1/8/2004,4,8,2015,1,28,0,214,ontime,620,958,945,936,-9,,-2,145,145,110,14.39,164.055
US,DCA,LGA,2168,N727UW,1/8/2004,4,8,2015,1,28,0,214,ontime,620,1057,1440,1358,-42,,-5,320,320,253,14.37,164.05
US,DCA,LGA,2170,N725UW,1/8/2004,4,8,2015,1,28,0,214,ontime,620,1157,913,904,-9,,-6,113,113,85,14.37,164.03
US,DCA,LGA,2172,N744UW,1/8/2004,4,8,2015,1,29,0,214,delayed,620,1259,1155,1150,-5,,9,215,215,323,14.375,164.04
US,DCA,LGA,2174,N719UW,1/8/2004,4,8,2015,1,29,0,214,ontime,620,1408,1045,1040,-5,,-6,205,205,165,14.3799,164.11
US,DCA,LGA,2176,N727UW,1/8/2004,4,8,2015,1,29,0,214,ontime,620,1457,1125,1101,-24,,-8,185,185,138,14.365,164.11
US,DCA,LGA,2178,N725UW,1/8/2004,4,8,2015,1,29,0,214,ontime,620,1557,1120,1119,-1,,-1,180,180,149,14.366,164.2
US,DCA,LGA,2180,N770UW,1/8/2004,4,8,2015,1,29,0,214,ontime,620,1733,900,850,-10,,-7,160,160,135,14.34,164.205
US,DCA,LGA,2182,N719UW,1/8/2004,4,8,2015,1,29,0,214,ontime,620,1758,830,840,10,,-8,130,130,96,14.38,164.3234
US,DCA,LGA,2184,N725UW,1/8/2004,4,8,2015,1,29,0,214,delayed,620,1916,851,841,-10,,3,151,151,108,14.38,164.3
US,DCA,LGA,2186,N738UW,1/8/2004,4,8,2015,1,29,0,214,ontime,620,2031,751,742,-9,,-7,91,91,61,14.39,164.4
US,DCA,LGA,2188,N770UW,1/8/2004,4,8,2015,1,30,0,214,ontime,620,2059,805,811,6,,-1,165,165,155,14.4099,164.42
RU,BWI,EWR,3372,N13538,1/8/2004,4,8,2015,1,30,0,169,delayed,620,1739,801,825,24,,1,161,161,154,14.405,164.4
RU,BWI,EWR,2403,N13935,1/8/2004,4,8,2015,1,30,0,169,delayed,620,1456,848,834,-14,,0,88,88,59,14.395,164.38
RU,BWI,EWR,2303,N14933,1/8/2004,4,8,2015,1,30,0,169,ontime,620,1026,805,750,-15,,-11,165,165,142,14.4,164.35
RU,BWI,EWR,2703,N15973,1/8/2004,4,8,2015,1,30,0,169,delayed,620,655,825,780,-54,,35,185,185,555,14.375,164.32
CO,DCA,EWR,814,N29717,1/8/2004,4,8,2015,2,1,0,199,delayed,620,1728,820,860,54,,8,120,120,468,14.37,164.31
CO,DCA,EWR,806,N11612,1/8/2004,4,8,2015,2,1,0,199,ontime,620,734,840,828,-12,,-4,140,140,115,14.355,164.3
CO,DCA,EWR,808,N18658,1/8/2004,4,8,2015,2,1,0,199,delayed,620,1255,839,834,-5,,5,139,139,111,14.355,164.2
CO,DCA,EWR,816,N14645,1/8/2004,4,8,2015,2,1,0,199,delayed,620,1854,906,915,9,,10,106,106,84,14.3601,164.21
DH,IAD,EWR,7299,N674BR,1/8/2004,4,8,2015,2,1,0,213,ontime,620,838,817,810,-7,,-3,117,117,74,14.37,164.16
DH,IAD,EWR,7302,N652BR,1/8/2004,4,8,2015,2,1,0,213,delayed,620,1706,818,821,3,,0,118,118,79,14.37,164.21
DH,IAD,EWR,7303,N652BR,1/8/2004,4,8,2015,2,1,0,213,delayed,621,1241,754,814,20,,16,153,153,137,14.3699,164.14
DH,IAD,EWR,7304,N695BR,1/8/2004,4,8,2015,2,1,0,213,ontime,621,2120,814,803,-11,,-5,113,113,88,14.36,164.1899
DH,IAD,EWR,7305,N332UE,1/8/2004,4,8,2015,2,1,0,213,ontime,622,622,755,743,-12,,-9,93,93,70,14.3449,164.105
DH,IAD,EWR,7307,N303UE,1/8/2004,4,8,2015,2,1,0,213,ontime,622,1421,910,922,12,,-2,108,108,83,14.35,164.14
RU,IAD,EWR,2156,N13132,1/8/2004,4,8,2015,2,1,0,213,delayed,622,1452,712,710,-2,,4,110,110,73,14.36,164.2
RU,IAD,EWR,2385,N24103,1/8/2004,4,8,2015,2,1,0,213,ontime,623,1857,855,840,-15,,-3,152,152,115,14.357,164.08
RU,IAD,EWR,2692,N25504,1/8/2004,4,8,2015,2,1,0,213,ontime,624,1255,923,920,-3,,-1,239,239,222,14.35,164.01
RU,DCA,EWR,2181,N10575,1/8/2004,4,8,2015,2,1,0,199,ontime,624,1625,750,719,-31,,-3,86,86,41,14.35,164.11
RU,DCA,EWR,2761,N11565,1/8/2004,4,8,2015,2,2,0,199,ontime,625,654,822,812,-10,,-9,117,117,95,14.34,164
RU,DCA,EWR,2216,N16546,1/8/2004,4,8,2015,2,2,0,199,ontime,625,1354,926,929,3,,-1,181,181,150,14.3373,164.02
RU,IAD,EWR,2855,N14952,1/8/2004,4,8,2015,2,2,0,213,delayed,625,707,1120,1101,-19,,0,175,175,137,14.34,164.03
RU,IAD,EWR,2497,N12564,1/8/2004,4,8,2015,2,2,0,213,delayed,625,1700,925,936,11,,0,240,240,224,14.34,163.99
RU,DCA,EWR,2582,N36915,1/8/2004,4,8,2015,2,2,0,199,ontime,625,857,1424,1407,-17,,-1,299,299,258,14.36,163.95
RU,DCA,EWR,2879,N16954,1/8/2004,4,8,2015,2,2,0,199,ontime,625,2051,855,912,17,,-3,210,210,200,14.37,164.01
RU,DCA,EWR,2261,N16963,1/8/2004,4,8,2015,2,2,0,199,delayed,625,1527,1120,1170,-87,,2,175,175,468,14.3686,163.915
OH,BWI,JFK,5935,N812CA,1/9/2004,5,9,2015,2,2,0,184,ontime,625,1455,820,827,7,,-5,175,175,149,14.37,164.01
DH,DCA,JFK,6155,N415FJ,1/9/2004,5,9,2015,2,2,0,213,delayed,625,1634,920,1207,167,,14,235,235,206,14.3751,164.035
DH,IAD,LGA,7208,N650BR,1/9/2004,5,9,2015,2,2,0,229,ontime,625,1257,945,927,-18,,-7,140,140,107,14.3701,164.04
DH,IAD,LGA,7211,N697BR,1/9/2004,5,9,2015,2,2,0,229,delayed,625,1608,755,900,48,,3,150,150,468,14.37,163.9981
DH,IAD,LGA,7215,N658BR,1/9/2004,5,9,2015,2,2,0,229,ontime,625,2106,840,845,5,,-7,195,195,166,14.37,164
DH,IAD,LGA,7684,N699BR,1/9/2004,5,9,2015,2,2,0,229,ontime,625,2134,735,713,-22,,-6,70,70,40,14.36,164.09
DH,IAD,LGA,7790,N647BR,1/9/2004,5,9,2015,2,2,0,229,ontime,625,714,1050,1054,4,,-11,205,205,188,14.35,164.03
DH,IAD,LGA,7792,N647BR,1/9/2004,5,9,2015,2,3,0,229,ontime,625,1106,925,930,5,,-1,180,180,169,14.3492,164.04
DH,IAD,JFK,7800,N667BR,1/9/2004,5,9,2015,2,3,0,228,delayed,625,836,923,926,3,,3,178,178,163,14.325,164.07
DH,IAD,JFK,7806,N316UE,1/9/2004,5,9,2015,2,3,0,228,ontime,625,1235,825,806,-19,,-4,120,120,84,14.337,164.045
DH,IAD,JFK,7808,N308UE,1/9/2004,5,9,2015,2,3,0,228,delayed,625,1454,816,852,36,,44,171,171,149,14.3101,164.0688
DH,IAD,JFK,7810,N311UE,1/9/2004,5,9,2015,2,3,0,228,ontime,625,1643,851,816,-35,,-6,146,146,97,14.3392,164.06
DH,IAD,JFK,7812,N333UE,1/9/2004,5,9,2015,2,3,0,228,ontime,625,1710,733,722,-11,,-6,68,68,40,14.335,164.09
DH,IAD,JFK,7814,N675BR,1/9/2004,5,9,2015,2,3,0,228,ontime,625,2115,752,727,-25,,-15,87,87,60,14.3384,164.178
DH,IAD,JFK,7816,N309UE,1/9/2004,5,9,2015,2,3,0,228,ontime,625,1617,937,931,-6,,-7,132,132,108,14.3499,164.17
DL,DCA,JFK,746,N951DL,1/9/2004,5,9,2015,2,3,0,213,delayed,625,1506,805,900,98,,1,160,160,468,14.355,164.17
DL,DCA,LGA,1740,N241DL,1/9/2004,5,9,2015,2,3,0,214,delayed,625,629,840,700,-21,,4,135,135,468,14.3451,164.16
DL,DCA,LGA,1742,N224DA,1/9/2004,5,9,2015,2,3,0,214,ontime,625,730,734,738,4,,-6,129,129,116,14.337,164.17
DL,DCA,LGA,1744,N242DL,1/9/2004,5,9,2015,2,3,0,214,ontime,625,832,855,907,12,,-3,90,90,68,14.33,164.17
DL,DCA,LGA,1746,N225DL,1/9/2004,5,9,2015,2,3,0,214,ontime,625,930,906,855,-11,,-8,101,101,73,14.325,164.2
DL,DCA,LGA,1748,N241DL,1/9/2004,5,9,2015,2,3,0,214,ontime,626,1032,812,808,-4,,-6,106,106,89,14.3274,164.23
DL,DCA,LGA,1750,N224DA,1/9/2004,5,9,2015,2,3,0,214,ontime,626,1131,719,710,-9,,-6,53,53,22,14.35,164.23
DL,DCA,LGA,1752,N222DZ,1/9/2004,5,9,2015,2,3,0,214,ontime,627,1228,654,644,-10,,-4,87,87,60,14.345,164.235
DL,DCA,LGA,1754,N225DL,1/9/2004,5,9,2015,2,3,0,214,ontime,628,1329,700,651,-9,,-7,32,32,18,14.34,164.1768
DL,DCA,LGA,1756,N241DL,1/9/2004,5,9,2015,2,3,0,214,ontime,628,1432,720,721,1,,-1,52,52,30,14.336,164.1596
DL,DCA,LGA,1758,N221DL,1/9/2004,5,9,2015,2,3,0,214,ontime,629,1530,1330,1311,-19,,-1,241,241,202,14.34,164.2175
DL,DCA,LGA,1760,N222DZ,1/9/2004,5,9,2015,2,3,0,214,delayed,630,1633,809,814,5,,11,159,159,137,14.33,164.16
DL,DCA,LGA,1762,N225DL,1/9/2004,5,9,2015,2,3,0,214,ontime,630,1735,849,853,4,,-5,79,79,53,14.3408,164.21
DL,DCA,LGA,1764,N241DL,1/9/2004,5,9,2015,2,3,0,214,delayed,630,1829,1011,1033,22,,0,341,341,339,14.325,164.21
DL,DCA,LGA,1766,N221DL,1/9/2004,5,9,2015,2,3,0,214,delayed,630,1931,814,812,-2,,0,104,104,81,14.3358,164.21
DL,DCA,LGA,1768,N222DZ,1/9/2004,5,9,2015,2,3,0,214,delayed,630,2030,731,751,20,,28,61,61,30,14.325,164.1829
MQ,DCA,JFK,4752,N708MQ,1/9/2004,5,9,2015,2,3,0,213,delayed,630,1535,1459,1554,55,,6,329,329,286,14.32,164.19
MQ,DCA,JFK,4760,N801MQ,1/9/2004,5,9,2015,2,3,0,213,ontime,630,558,743,737,-6,,-11,73,73,41,14.31,164.15
MQ,DCA,JFK,4784,N736MQ,1/9/2004,5,9,2015,2,3,0,213,delayed,630,1851,1230,1221,-9,,4,240,240,212,14.31,164.07
MQ,DCA,LGA,4954,N731MQ,1/9/2004,5,9,2015,2,3,0,214,ontime,630,843,840,843,3,,-1,190,190,173,14.31,164.1
MQ,DCA,LGA,4956,N715MQ,1/9/2004,5,9,2015,2,3,0,214,delayed,630,851,1408,1353,-15,,2,338,338,289,14.32,164.01
MQ,DCA,LGA,4960,N713MQ,1/9/2004,5,9,2015,2,3,0,214,ontime,630,1141,803,802,-1,,-7,93,93,68,14.31,164.05
MQ,DCA,LGA,4964,N715MQ,1/9/2004,5,9,2015,2,3,0,214,ontime,630,1252,1018,1023,5,,-2,348,348,334,14.3152,164.03
MQ,DCA,LGA,4966,N739MQ,1/9/2004,5,9,2015,2,3,0,214,ontime,630,1359,853,900,7,,-7,83,83,48,14.31,164.02
MQ,DCA,LGA,4968,N712MQ,1/9/2004,5,9,2015,2,3,0,214,delayed,630,1503,844,1120,156,,14,74,74,48,14.305,163.9447
MQ,DCA,LGA,4970,N732MQ,1/9/2004,5,9,2015,2,3,0,214,ontime,630,1618,835,824,-11,,-6,125,125,96,14.3099,163.97
MQ,DCA,LGA,4972,N707MQ,1/9/2004,5,9,2015,2,4,0,214,ontime,630,1658,840,848,8,,-4,190,190,171,14.285,163.95
MQ,DCA,LGA,4976,N726MQ,1/9/2004,5,9,2015,2,4,0,214,ontime,630,1916,935,945,10,,-3,245,245,232,14.2716,164
UA,IAD,LGA,846,N520UA,1/9/2004,5,9,2015,2,4,0,229,ontime,630,904,812,802,-10,,-8,102,102,78,14.2621,163.95
US,DCA,LGA,1479,N733UW,1/9/2004,5,9,2015,2,4,0,214,ontime,630,629,930,921,-9,,-3,180,180,145,14.276,164
US,DCA,LGA,2160,N724UW,1/9/2004,5,9,2015,2,4,0,214,ontime,630,657,910,902,-8,,-6,160,160,136,14.2799,164.01
US,DCA,LGA,2162,N738UW,1/9/2004,5,9,2015,2,4,0,214,ontime,630,756,947,951,4,,-3,377,377,358,14.265,163.87
US,DCA,LGA,2166,N722UW,1/9/2004,5,9,2015,2,4,0,214,ontime,630,958,931,901,-30,,-1,181,181,136,14.245,163.89
US,DCA,LGA,2168,N724UW,1/9/2004,5,9,2015,2,4,0,214,ontime,630,1057,945,928,-17,,-2,195,195,162,14.2509,163.89
US,DCA,LGA,2170,N738UW,1/9/2004,5,9,2015,2,4,0,214,delayed,630,1155,828,830,2,,19,118,118,87,14.256,163.95
US,DCA,LGA,2172,N750UW,1/9/2004,5,9,2015,2,4,0,214,ontime,630,1259,1455,1435,-20,,-2,325,325,284,14.2699,163.98
US,DCA,LGA,2174,N722UW,1/9/2004,5,9,2015,2,4,0,214,ontime,630,1357,1008,952,-16,,-4,158,158,112,14.255,163.92
US,DCA,LGA,2176,N724UW,1/9/2004,5,9,2015,2,4,0,214,ontime,630,1458,937,915,-22,,-5,127,127,93,14.2448,163.96
US,DCA,LGA,2178,N738UW,1/9/2004,5,9,2015,2,4,0,214,delayed,630,1555,1125,1118,-7,,2,175,175,131,14.245,164
US,DCA,LGA,2180,N750UW,1/9/2004,5,9,2015,2,4,0,214,ontime,630,1657,845,814,-31,,-2,135,135,88,14.245,163.9768
US,DCA,LGA,2182,N722UW,1/9/2004,5,9,2015,2,4,0,214,ontime,630,1757,1018,1015,-3,,-6,168,168,137,14.255,164.03
US,DCA,LGA,2184,N724UW,1/9/2004,5,9,2015,2,4,0,214,delayed,630,1902,1405,1418,13,,1,275,275,245,14.26,164.075
US,DCA,LGA,2186,N738UW,1/9/2004,5,9,2015,2,4,0,214,ontime,630,1956,917,839,-38,,-1,167,167,114,14.27,164.065
US,DCA,LGA,2188,N750UW,1/9/2004,5,9,2015,2,4,0,214,ontime,630,2052,758,743,-15,,-1,88,88,61,14.25,164.09
RU,BWI,EWR,3372,N16963,1/9/2004,5,9,2015,2,4,0,169,delayed,630,1720,740,741,1,,0,70,70,46,14.241,164.065
RU,BWI,EWR,2403,N15926,1/9/2004,5,9,2015,2,4,0,169,ontime,630,1450,727,720,-7,,-1,57,57,28,14.245,164.15
RU,BWI,EWR,2303,N13989,1/9/2004,5,9,2015,2,4,0,169,delayed,630,1108,909,856,-13,,0,159,159,120,14.25,164.09
RU,BWI,EWR,2703,N12552,1/9/2004,5,9,2015,2,5,0,169,ontime,630,700,757,752,-5,,-7,87,87,72,14.23,164.06
CO,DCA,EWR,814,N70353,1/9/2004,5,9,2015,2,5,0,199,delayed,630,1727,835,944,69,,9,245,245,214,14.27,164.04
CO,DCA,EWR,816,N46625,1/9/2004,5,9,2015,2,5,0,199,delayed,630,1858,844,853,9,,17,254,254,229,14.27,163.98
CO,DCA,EWR,808,N14664,1/9/2004,5,9,2015,2,5,0,199,delayed,630,1258,920,937,17,,4,110,110,96,14.265,163.99
CO,DCA,EWR,806,N19621,1/9/2004,5,9,2015,2,5,0,199,ontime,630,732,850,844,-6,,-2,140,140,115,14.275,164
DH,IAD,EWR,7299,N698BR,1/9/2004,5,9,2015,2,5,0,213,delayed,630,840,825,819,-8,,21,115,115,468,14.293,164.005
DH,IAD,EWR,7302,N652BR,1/9/2004,5,9,2015,2,5,0,213,delayed,630,1707,845,860,15,,7,135,135,468,14.2999,164.01
DH,IAD,EWR,7303,N661BR,1/9/2004,5,9,2015,2,5,0,213,ontime,630,1242,725,709,-16,,-10,55,55,25,14.28,164
DH,IAD,EWR,7304,N646BR,1/9/2004,5,9,2015,2,5,0,213,ontime,630,2121,805,815,10,,-9,95,95,73,14.29,163.97
DH,IAD,EWR,7305,N301UE,1/9/2004,5,9,2015,2,5,0,213,ontime,630,629,756,803,7,,-7,86,86,52,14.285,164
DH,IAD,EWR,7307,N312UE,1/9/2004,5,9,2015,2,5,0,213,ontime,630,1423,740,731,-9,,-6,130,130,90,14.27,163.99
RU,DCA,EWR,2181,N18556,1/9/2004,5,9,2015,2,5,0,199,delayed,630,1627,802,758,-4,,7,92,92,64,14.273,164.005
RU,DCA,EWR,2261,N13955,1/9/2004,5,9,2015,2,5,0,199,delayed,630,1526,830,842,12,,0,240,240,217,14.2561,163.965
RU,DCA,EWR,2216,N13989,1/9/2004,5,9,2015,2,6,0,199,delayed,630,1357,903,902,-1,,0,93,93,71,14.25,163.9666
RU,IAD,EWR,2855,N13550,1/9/2004,5,9,2015,2,6,0,213,ontime,631,700,819,814,-5,,-2,168,168,144,14.25,163.9799
RU,IAD,EWR,2692,N14505,1/9/2004,5,9,2015,2,6,0,213,ontime,632,1256,924,907,-17,,-5,112,112,77,14.235,164.005
RU,IAD,EWR,2385,N27152,1/9/2004,5,9,2015,2,6,0,213,ontime,632,1855,708,702,-6,,-5,36,36,20,14.2401,163.989
RU,IAD,EWR,2156,N16151,1/9/2004,5,9,2015,2,6,0,213,ontime,633,1457,904,906,2,,-8,211,211,194,14.25,163.998
RU,DCA,EWR,2582,N11565,1/9/2004,5,9,2015,2,6,0,199,ontime,633,850,727,702,-25,,-10,54,54,21,14.25,164.015
RU,DCA,EWR,2879,N14907,1/9/2004,5,9,2015,2,6,0,199,ontime,635,2058,855,914,19,,-2,200,200,174,14.2501,163.98
RU,IAD,EWR,2497,N12900,1/9/2004,5,9,2015,2,6,0,213,ontime,635,1655,1436,1413,-23,,-8,301,301,263,14.2601,163.97
RU,DCA,EWR,2761,N15985,1/9/2004,5,9,2015,2,6,0,199,ontime,635,645,950,940,-10,,-1,135,135,103,14.27,163.9917
OH,BWI,JFK,5935,N805CA,1/10/2004,6,10,2015,2,6,0,184,ontime,635,1455,1230,1224,-6,,-3,235,235,218,14.26,163.9938
DH,DCA,JFK,6155,N424FJ,1/10/2004,6,10,2015,2,6,0,213,ontime,635,1638,846,833,-13,,-7,71,71,46,14.25,163.9786
DH,IAD,LGA,7208,N627BR,1/10/2004,6,10,2015,2,7,0,229,delayed,635,1243,825,833,8,,13,170,170,141,14.24,164.04
DH,IAD,LGA,7215,N688BR,1/10/2004,6,10,2015,2,7,0,229,delayed,635,1710,815,790,-21,,15,100,100,468,14.22,164.05
DH,IAD,LGA,7684,N692BR,1/10/2004,6,10,2015,2,7,0,229,ontime,635,2130,855,828,-27,,-8,200,200,162,14.2299,164.02
DH,IAD,JFK,7800,N682BR,1/10/2004,6,10,2015,2,7,0,228,ontime,635,918,935,926,-9,,-12,120,120,88,14.23,164.05
DH,IAD,JFK,7806,N313UE,1/10/2004,6,10,2015,2,7,0,228,ontime,635,1303,918,910,-8,,-6,163,163,133,14.2156,164
DH,IAD,JFK,7810,N315UE,1/10/2004,6,10,2015,2,7,0,228,ontime,635,1642,854,842,-12,,-7,139,139,117,14.23,164
DH,IAD,JFK,7812,N321UE,1/10/2004,6,10,2015,2,7,0,228,ontime,635,1708,936,926,-10,,-10,121,121,93,14.225,164.0303
DH,IAD,JFK,7814,N642BR,1/10/2004,6,10,2015,2,7,0,228,ontime,635,2126,945,953,8,,-6,190,190,155,14.225,164
DH,IAD,JFK,7818,N307UE,1/10/2004,6,10,2015,2,7,0,228,ontime,635,1800,931,905,-26,,-11,176,176,146,14.22,164.005
DL,DCA,JFK,746,N906DE,1/10/2004,6,10,2015,2,7,0,213,delayed,635,1505,925,1010,45,,21,350,350,342,14.2191,163.97
DL,DCA,LGA,1742,N225DL,1/10/2004,6,10,2015,2,7,0,214,ontime,635,729,810,753,-17,,-3,95,95,65,14.185,163.94
DL,DCA,LGA,1744,N241DL,1/10/2004,6,10,2015,2,7,0,214,ontime,635,832,844,803,-41,,-2,129,129,74,14.17,163.97
DL,DCA,LGA,1748,N221DL,1/10/2004,6,10,2015,2,8,0,214,ontime,635,1028,1219,1209,-10,,-3,224,224,190,14.1709,163.975
DL,DCA,LGA,1752,N241DL,1/10/2004,6,10,2015,2,8,0,214,ontime,635,1230,854,834,-20,,-7,139,139,110,14.1466,164.01
DL,DCA,LGA,1756,N221DL,1/10/2004,6,10,2015,2,8,0,214,delayed,635,1429,850,730,-18,,7,135,135,468,14.14,164.01
DL,DCA,LGA,1760,N241DL,1/10/2004,6,10,2015,2,8,0,214,ontime,635,1624,754,753,-19,,-9,79,79,41,14.165,164.0015
DL,DCA,LGA,1764,N221DL,1/10/2004,6,10,2015,2,8,0,214,delayed,635,1828,849,836,-13,,0,134,134,105,14.165,164.0025
DL,DCA,LGA,1768,N241DL,1/10/2004,6,10,2015,2,8,0,214,ontime,638,2031,930,915,-15,,-6,172,172,144,14.15,164
MQ,DCA,JFK,4752,N841MQ,1/10/2004,6,10,2015,2,8,0,213,ontime,639,1529,1230,1228,-2,,-5,231,231,214,14.149,164.005
MQ,DCA,JFK,4760,N718MQ,1/10/2004,6,10,2015,2,8,0,213,ontime,640,557,804,747,-17,,-3,84,84,45,14.11,164
MQ,DCA,JFK,4784,N709MQ,1/10/2004,6,10,2015,2,8,0,213,ontime,640,1826,816,808,-8,,-3,96,96,71,14.16,164
MQ,DCA,LGA,4956,N717MQ,1/10/2004,6,10,2015,2,8,0,214,ontime,640,855,814,812,-2,,-3,94,94,67,14.1499,164
MQ,DCA,LGA,4964,N715MQ,1/10/2004,6,10,2015,2,8,0,214,delayed,640,1309,841,832,-9,,8,121,121,88,14.1767,164.01
UA,IAD,LGA,846,N565UA,1/10/2004,6,10,2015,2,8,0,229,ontime,640,850,950,931,-19,,-3,130,130,96,14.19,163.99
US,DCA,LGA,2160,N722UW,1/10/2004,6,10,2015,2,8,0,214,ontime,640,655,910,854,-16,,-4,150,150,122,14.17,163.97
US,DCA,LGA,2164,N750UW,1/10/2004,6,10,2015,2,8,0,214,ontime,640,857,910,855,-15,,-1,330,330,303,14.165,163.98
US,DCA,LGA,2168,N722UW,1/10/2004,6,10,2015,2,8,0,214,ontime,640,1056,845,833,-12,,-5,245,245,221,14.165,164
US,DCA,LGA,2172,N750UW,1/10/2004,6,10,2015,2,8,0,214,ontime,640,1256,1055,1039,-16,,-7,195,195,160,14.16,164.071
US,DCA,LGA,2176,N722UW,1/10/2004,6,10,2015,2,8,0,214,delayed,640,1458,805,800,-5,,0,85,85,63,14.145,163.99
US,DCA,LGA,2180,N750UW,1/10/2004,6,10,2015,2,8,0,214,ontime,640,1656,1429,1352,-37,,-1,289,289,234,14.1248,164
US,DCA,LGA,2184,N722UW,1/10/2004,6,10,2015,2,8,0,214,delayed,640,1854,945,947,2,,3,125,125,82,14.126,164
RU,BWI,EWR,3372,N13553,1/10/2004,6,10,2015,2,8,0,169,ontime,640,1723,900,857,-3,,-7,140,140,105,14.11,164
RU,BWI,EWR,2229,N14943,1/10/2004,6,10,2015,2,8,0,169,delayed,640,1450,750,755,5,,8,70,70,468,14.1085,164
RU,BWI,EWR,2703,N10575,1/10/2004,6,10,2015,2,8,0,169,ontime,640,657,920,913,-7,,-4,220,220,188,14.1217,164.01
RU,BWI,EWR,2303,N13936,1/10/2004,6,10,2015,2,8,0,169,ontime,640,1030,717,731,14,,-8,37,37,26,14.1386,164.02
CO,DCA,EWR,808,N14660,1/10/2004,6,10,2015,2,8,0,199,delayed,640,1254,904,859,-5,,3,144,144,110,14.1395,164
DH,IAD,EWR,7299,N705BR,1/10/2004,6,10,2015,2,9,0,213,ontime,640,906,912,856,-16,,-4,152,152,124,14.1399,164.005
DH,IAD,EWR,7302,N658BR,1/10/2004,6,10,2015,2,9,0,213,ontime,640,1703,910,903,-7,,-1,150,150,124,14.11,163.99
DH,IAD,EWR,7303,N658BR,1/10/2004,6,10,2015,2,9,0,213,ontime,640,1255,1222,1232,10,,-7,222,222,211,14.13,164.02
DH,IAD,EWR,7304,N625BR,1/10/2004,6,10,2015,2,9,0,213,delayed,640,2114,743,833,50,,7,123,123,75,14.1252,163.99
RU,IAD,EWR,2497,N16149,1/10/2004,6,10,2015,2,9,0,213,ontime,640,1655,1006,1026,20,,-6,206,206,164,14.11,164
RU,IAD,EWR,2855,N26545,1/10/2004,6,10,2015,2,9,0,213,delayed,640,658,828,820,-8,,0,108,108,81,14.12,164.02
RU,DCA,EWR,2361,N17560,1/10/2004,6,10,2015,2,9,0,199,ontime,640,1555,914,903,-11,,-6,154,154,128,14.1137,164.05
RU,IAD,EWR,2156,N11113,1/10/2004,6,10,2015,2,9,0,213,ontime,640,1456,913,906,-7,,-2,153,153,125,14.11,163.99
RU,DCA,EWR,2761,N14943,1/10/2004,6,10,2015,2,9,0,199,ontime,640,645,1228,1223,-5,,-4,228,228,206,14.125,164.06
RU,DCA,EWR,2097,N13903,1/10/2004,6,10,2015,2,9,0,199,ontime,640,1719,800,749,-11,,-2,80,80,52,14.1299,164.04
RU,DCA,EWR,2216,N13553,1/10/2004,6,10,2015,2,9,0,199,delayed,640,1355,745,759,14,,16,65,65,42,14.125,164.06
RU,DCA,EWR,2582,N27152,1/10/2004,6,10,2015,2,9,0,199,ontime,640,925,805,813,8,,-1,85,85,64,14.1284,164.03
OH,BWI,JFK,5935,N966CA,1/11/2004,7,11,2015,2,9,0,184,delayed,640,1455,800,750,-10,,3,80,80,52,14.12,164.05
DH,DCA,JFK,6155,N415FJ,1/11/2004,7,11,2015,2,9,0,213,delayed,640,1634,905,915,10,,9,145,145,547,14.095,164.0886
DH,IAD,LGA,7208,N684BR,1/11/2004,7,11,2015,2,9,0,229,delayed,640,1304,905,925,20,,4,85,85,547,14.0865,164.087
DH,IAD,LGA,7211,N309UE,1/11/2004,7,11,2015,2,9,0,229,delayed,640,1500,830,851,21,,8,170,170,547,14.073,164.1
DH,IAD,LGA,7215,N706BR,1/11/2004,7,11,2015,2,9,0,229,ontime,640,1712,820,831,11,,-6,100,100,74,14.07,164.07
DH,IAD,LGA,7684,N677BR,1/11/2004,7,11,2015,2,9,0,229,ontime,640,2115,856,855,-1,,-3,136,136,99,14.08,164.1
DH,IAD,JFK,7800,N692BR,1/11/2004,7,11,2015,2,9,0,228,delayed,640,840,946,1123,97,,8,186,186,147,14.1009,164.11
DH,IAD,JFK,7806,N321UE,1/11/2004,7,11,2015,2,9,0,228,ontime,640,1238,834,823,-11,,-2,114,114,85,14.1,164.13
DH,IAD,JFK,7808,N316UE,1/11/2004,7,11,2015,2,9,0,228,delayed,640,1533,946,930,-16,,3,186,186,150,14.07,164.08
DH,IAD,JFK,7810,N332UE,1/11/2004,7,11,2015,2,9,0,228,ontime,640,1637,850,847,-3,,-2,130,130,104,14.077,164.1
