schedtime,carrier,deptime,dest,distance,date,flightnumber,origin,weather,dayweek,daymonth,tailnu,delay,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY
600,DL,1128,LGA,214,1/5/2004,1750,DCA,0,1,5,N241DL,ontime,-3,241,241,901,856,-5
600,DL,1230,LGA,214,1/5/2004,1752,DCA,0,1,5,N242DL,ontime,-10,168,168,948,930,-18
600,DL,1329,LGA,214,1/5/2004,1754,DCA,0,1,5,N225DL,ontime,-1,203,203,1023,1013,-10
600,DL,1427,LGA,214,1/5/2004,1756,DCA,0,1,5,N223DZ,ontime,1,232,232,852,907,15
600,DL,1635,LGA,214,1/5/2004,1760,DCA,0,1,5,N242DL,ontime,-6,173,173,853,841,-12
600,DL,1730,LGA,214,1/5/2004,1762,DCA,0,1,5,N225DL,ontime,0,128,128,808,816,8
600,DL,1829,LGA,214,1/5/2004,1764,DCA,0,1,5,N223DZ,ontime,-3,84,84,724,725,1
600,DL,1955,LGA,214,1/5/2004,1766,DCA,0,1,5,N241DL,delayed,5,163,163,843,824,-19
600,DL,2028,LGA,214,1/5/2004,1768,DCA,0,1,5,N242DL,ontime,4,118,118,758,757,-1
600,MQ,1538,JFK,213,1/5/2004,4752,DCA,0,1,5,N704MQ,ontime,0,100,100,840,858,18
600,MQ,557,JFK,213,1/5/2004,4760,DCA,0,1,5,N707MQ,ontime,-4,80,80,720,712,-8
600,MQ,656,LGA,214,1/5/2004,4952,DCA,0,1,5,N712MQ,ontime,0,210,210,830,832,2
600,MQ,758,LGA,214,1/5/2004,4954,DCA,0,1,5,N724MQ,ontime,1,159,159,839,807,-32
600,MQ,859,LGA,214,1/5/2004,4956,DCA,0,1,5,N719MQ,ontime,2,127,127,907,846,-21
600,MQ,1103,LGA,214,1/5/2004,4960,DCA,0,1,5,N706MQ,ontime,-3,317,317,1417,1337,-40
600,MQ,1250,LGA,214,1/5/2004,4964,DCA,0,1,5,N716MQ,ontime,1,143,143,923,851,-32
600,MQ,1627,LGA,214,1/5/2004,4970,DCA,0,1,5,N700MQ,delayed,124,207,207,1127,1314,107
600,MQ,1702,LGA,214,1/5/2004,4972,DCA,0,1,5,N724MQ,ontime,-6,69,69,809,749,-20
600,MQ,1949,LGA,214,1/5/2004,4976,DCA,0,1,5,N846MQ,delayed,-6,304,304,904,854,-10
600,UA,848,LGA,229,1/5/2004,846,IAD,0,1,5,N516UA,ontime,248,180,180,1100,,
600,US,627,LGA,214,1/5/2004,1479,DCA,0,1,5,N765UW,delayed,5,157,157,837,836,-1
600,US,657,LGA,214,1/5/2004,2160,DCA,0,1,5,N762UW,ontime,-6,113,113,753,725,-28
600,US,757,LGA,214,1/5/2004,2162,DCA,0,1,5,N750UW,ontime,-1,250,250,1310,1250,-20
600,US,900,LGA,214,1/5/2004,2164,DCA,0,1,5,N733UW,ontime,-2,191,191,911,849,-22
600,US,958,LGA,214,1/5/2004,2166,DCA,0,1,5,N767UW,ontime,-1,233,233,1253,1231,-22
600,US,1057,LGA,214,1/5/2004,2168,DCA,0,1,5,N762UW,ontime,-10,124,124,904,901,-3
600,US,1155,LGA,214,1/5/2004,2170,DCA,0,1,5,N750UW,ontime,-10,209,209,829,822,-7
600,US,1257,LGA,214,1/5/2004,2172,DCA,0,1,5,N733UW,ontime,17,82,82,822,816,-6
600,US,1358,LGA,214,1/5/2004,2174,DCA,0,1,5,N767UW,ontime,-5,118,118,858,834,-24
600,US,1500,LGA,214,1/5/2004,2176,DCA,0,1,5,N762UW,ontime,-9,102,102,742,723,-19
600,US,1601,LGA,214,1/5/2004,2178,DCA,0,1,5,N750UW,ontime,-6,99,99,739,718,-21
600,US,1657,LGA,214,1/5/2004,2180,DCA,0,1,5,N733UW,ontime,-3,145,145,825,827,2
600,US,1757,LGA,214,1/5/2004,2182,DCA,0,1,5,N767UW,ontime,10,163,163,843,900,17
600,US,1857,LGA,214,1/5/2004,2184,DCA,0,1,5,N762UW,ontime,27,242,242,902,1001,59
600,US,1959,LGA,214,1/5/2004,2186,DCA,0,1,5,N750UW,ontime,-8,107,107,747,724,-23
600,US,2100,LGA,214,1/5/2004,2188,DCA,0,1,5,N733UW,ontime,-1,155,155,735,745,10
600,RU,744,EWR,169,1/5/2004,2703,BWI,0,1,5,N14923,delayed,-5,173,173,753,749,-4
600,RU,1527,EWR,169,1/5/2004,2403,BWI,0,1,5,N12946,delayed,86,126,126,806,931,85
600,RU,1221,EWR,169,1/5/2004,2303,BWI,0,1,5,N16951,delayed,-8,158,158,938,918,-20
600,CO,1324,EWR,199,1/5/2004,808,DCA,0,1,5,N14628,delayed,-1,123,123,703,721,18
600,CO,757,EWR,199,1/5/2004,806,DCA,0,1,5,N14654,ontime,-7,85,85,725,723,-2
600,CO,1846,EWR,199,1/5/2004,814,DCA,0,1,5,N14341,delayed,-4,63,63,703,653,-10
600,DH,844,EWR,213,1/5/2004,7299,IAD,0,1,5,N622BR,ontime,-8,113,113,753,733,-20
600,DH,1920,EWR,213,1/5/2004,7302,IAD,0,1,5,N697BR,delayed,-1,79,79,819,809,-10
600,DH,1357,EWR,213,1/5/2004,7303,IAD,0,1,5,N664BR,delayed,-8,92,92,732,729,-3
600,DH,2312,EWR,213,1/5/2004,7304,IAD,0,1,5,N667BR,delayed,3,123,123,803,803,0
600,DH,1536,EWR,213,1/5/2004,7307,IAD,0,1,5,N320UE,delayed,-4,134,134,814,755,-19
600,DH,624,EWR,213,1/5/2004,7371,IAD,0,1,5,N330UE,ontime,16,92,92,632,651,19
600,RU,700,EWR,199,1/5/2004,2761,DCA,0,1,5,N18556,ontime,0,63,63,703,703,0
600,RU,1056,EWR,199,1/5/2004,2582,DCA,0,1,5,N14952,delayed,-4,90,90,630,619,-11
600,RU,1321,EWR,213,1/5/2004,2692,IAD,0,1,5,N16511,delayed,-10,76,76,716,713,-3
600,RU,2105,EWR,199,1/5/2004,2879,DCA,0,1,5,N12126,ontime,1505,120,120,800,,
600,RU,655,EWR,213,1/5/2004,2855,IAD,0,1,5,N14570,ontime,55,180,180,1000,,
600,RU,1454,EWR,199,1/5/2004,2216,DCA,0,1,5,N13979,delayed,-4,175,175,855,833,-22
600,RU,2104,EWR,199,1/5/2004,2336,DCA,0,1,5,N14940,delayed,-8,260,260,820,814,-6
600,RU,1602,EWR,213,1/5/2004,2156,IAD,0,1,5,N27152,delayed,5,153,153,933,933,0
600,RU,855,EWR,213,1/5/2004,3276,IAD,0,1,5,N14991,ontime,-8,225,225,1145,1146,1
600,RU,1617,EWR,199,1/5/2004,2261,DCA,0,1,5,N15948,delayed,-3,139,139,819,808,-11
600,OH,1455,JFK,184,1/6/2004,5935,BWI,0,2,6,N805CA,ontime,19,110,110,750,814,24
600,DH,1240,LGA,229,1/6/2004,7208,IAD,0,2,6,N307UE,ontime,-7,50,50,650,646,-4
600,DH,1451,LGA,229,1/6/2004,7211,IAD,0,2,6,N676BR,ontime,851,70,70,710,,
600,DH,1752,LGA,229,1/6/2004,7215,IAD,0,2,6,N662BR,ontime,1152,80,80,720,,
600,DH,635,LGA,229,1/6/2004,7790,IAD,0,2,6,N676BR,ontime,35,60,60,700,,
600,DH,1034,LGA,229,1/6/2004,7792,IAD,0,2,6,N676BR,ontime,434,70,70,710,,
600,DH,855,JFK,228,1/6/2004,7800,IAD,0,2,6,N674BR,ontime,255,78,78,718,,
600,DH,1237,JFK,228,1/6/2004,7806,IAD,0,2,6,N316UE,ontime,637,80,80,720,,
600,DH,1453,JFK,228,1/6/2004,7808,IAD,0,2,6,N315UE,ontime,853,140,140,820,,
600,DH,1641,JFK,228,1/6/2004,7810,IAD,0,2,6,N308UE,ontime,1041,145,145,825,,
600,DH,1756,JFK,228,1/6/2004,7812,IAD,0,2,6,N333UE,delayed,1156,170,170,750,,
600,DH,2153,JFK,228,1/6/2004,7814,IAD,0,2,6,N694BR,delayed,-5,95,95,735,738,3
600,DH,1607,JFK,228,1/6/2004,7816,IAD,0,2,6,N332UE,ontime,-4,153,153,833,826,-7
600,DH,2118,LGA,229,1/6/2004,7924,IAD,0,2,6,N674BR,ontime,1518,100,100,740,,
600,DL,1457,JFK,213,1/6/2004,746,DCA,0,2,6,N949DL,ontime,857,110,110,750,,
600,DL,629,LGA,214,1/6/2004,1740,DCA,0,2,6,N223DZ,ontime,29,150,150,730,,
600,DL,728,LGA,214,1/6/2004,1742,DCA,0,2,6,N225DL,ontime,-5,103,103,843,831,-12
600,DL,829,LGA,214,1/6/2004,1744,DCA,0,2,6,N242DL,ontime,0,117,117,857,852,-5
600,DL,930,LGA,214,1/6/2004,1746,DCA,0,2,6,N241DL,ontime,330,165,165,745,,
600,DL,1030,LGA,214,1/6/2004,1748,DCA,0,2,6,N223DZ,ontime,430,185,185,805,,
600,DL,1130,LGA,214,1/6/2004,1750,DCA,0,2,6,N225DL,ontime,530,60,60,700,,
600,DL,1230,LGA,214,1/6/2004,1752,DCA,0,2,6,N242DL,ontime,-9,83,83,723,715,-8
600,DL,1327,LGA,214,1/6/2004,1754,DCA,0,2,6,N241DL,ontime,0,238,238,758,729,-29
600,DL,1428,LGA,214,1/6/2004,1756,DCA,0,2,6,N223DZ,ontime,102,171,171,851,1017,86
600,DL,1529,LGA,214,1/6/2004,1758,DCA,0,2,6,N225DL,ontime,-2,98,98,738,836,58
600,DL,1629,LGA,214,1/6/2004,1760,DCA,0,2,6,N242DL,ontime,3,159,159,939,1014,35
600,DL,1728,LGA,214,1/6/2004,1762,DCA,0,2,6,N241DL,ontime,-9,90,90,730,728,-2
600,DL,1830,LGA,214,1/6/2004,1764,DCA,0,2,6,N223DZ,ontime,0,82,82,722,730,8
600,DL,1929,LGA,214,1/6/2004,1766,DCA,0,2,6,N225DL,ontime,4,134,134,714,720,6
600,DL,2031,LGA,214,1/6/2004,1768,DCA,0,2,6,N242DL,ontime,-8,79,79,719,650,-29
600,MQ,1548,JFK,213,1/6/2004,4752,DCA,0,2,6,N838MQ,ontime,-4,96,96,736,732,-4
600,MQ,558,JFK,213,1/6/2004,4760,DCA,0,2,6,N739MQ,ontime,-3,96,96,736,738,2
600,MQ,1843,JFK,213,1/6/2004,4784,DCA,0,2,6,N704MQ,ontime,-4,249,249,809,753,-16
600,MQ,655,LGA,214,1/6/2004,4952,DCA,0,2,6,N707MQ,ontime,-3,130,130,810,813,3
600,MQ,817,LGA,214,1/6/2004,4954,DCA,0,2,6,N614MQ,ontime,-10,147,147,827,808,-19
600,MQ,852,LGA,214,1/6/2004,4956,DCA,0,2,6,N724MQ,ontime,-10,58,58,658,655,-3
600,MQ,1100,LGA,214,1/6/2004,4960,DCA,0,2,6,N707MQ,ontime,500,87,87,627,,
600,MQ,1313,LGA,214,1/6/2004,4964,DCA,0,2,6,N614MQ,ontime,713,52,52,652,,
600,MQ,1355,LGA,214,1/6/2004,4966,DCA,0,2,6,N846MQ,ontime,39,130,130,710,740,30
600,MQ,1535,LGA,214,1/6/2004,4968,DCA,0,2,6,N704MQ,delayed,4,64,64,704,709,5
600,MQ,1555,LGA,214,1/6/2004,4970,DCA,0,2,6,N710MQ,ontime,54,51,51,651,819,88
600,MQ,1654,LGA,214,1/6/2004,4972,DCA,0,2,6,N734MQ,ontime,-1,93,93,733,732,-1
600,MQ,1904,LGA,214,1/6/2004,4976,DCA,0,2,6,N715MQ,ontime,0,74,74,714,721,7
600,UA,850,LGA,229,1/6/2004,846,IAD,0,2,6,N501UA,ontime,-5,166,166,846,835,-11
600,US,629,LGA,214,1/6/2004,1479,DCA,0,2,6,N764UW,ontime,29,80,80,720,,
600,US,657,LGA,214,1/6/2004,2160,DCA,0,2,6,N721UW,ontime,1,142,142,922,926,4
600,US,758,LGA,214,1/6/2004,2162,DCA,0,2,6,N719UW,ontime,4,72,72,712,721,9
600,US,858,LGA,214,1/6/2004,2164,DCA,0,2,6,N733UW,ontime,-10,83,83,723,733,10
600,US,1000,LGA,214,1/6/2004,2166,DCA,0,2,6,N754UW,ontime,22,68,68,708,720,12
600,US,1056,LGA,214,1/6/2004,2168,DCA,0,2,6,N721UW,ontime,-9,93,93,733,710,-23
600,US,1158,LGA,214,1/6/2004,2170,DCA,0,2,6,N719UW,ontime,-4,127,127,807,806,-1
600,US,1259,LGA,214,1/6/2004,2172,DCA,0,2,6,N733UW,ontime,10,68,68,708,707,-1
600,US,1357,LGA,214,1/6/2004,2174,DCA,0,2,6,N754UW,ontime,-3,96,96,736,729,-7
600,US,1458,LGA,214,1/6/2004,2176,DCA,0,2,6,N721UW,ontime,-4,125,125,705,714,9
600,US,1557,LGA,214,1/6/2004,2178,DCA,0,2,6,N719UW,ontime,-5,46,46,646,634,-12
600,US,1657,LGA,214,1/6/2004,2180,DCA,0,2,6,N733UW,ontime,4,132,132,712,706,-6
600,US,1758,LGA,214,1/6/2004,2182,DCA,0,2,6,N754UW,ontime,-2,87,87,727,706,-21
600,US,1855,LGA,214,1/6/2004,2184,DCA,0,2,6,N721UW,ontime,-3,89,89,729,723,-6
600,US,1958,LGA,214,1/6/2004,2186,DCA,0,2,6,N719UW,ontime,-1,145,145,925,958,33
601,US,2104,LGA,214,1/6/2004,2188,DCA,0,2,6,N733UW,ontime,-9,331,331,1432,1409,-23
601,RU,1451,EWR,169,1/6/2004,2403,BWI,0,2,6,N29917,ontime,0,175,175,1056,1049,-7
601,RU,1729,EWR,169,1/6/2004,3372,BWI,0,2,6,N27962,delayed,1,399,399,940,920,-20
601,RU,658,EWR,169,1/6/2004,2703,BWI,0,2,6,N13958,ontime,-2,129,129,710,701,-9
601,RU,1037,EWR,169,1/6/2004,2303,BWI,0,2,6,N12924,ontime,-4,37,37,638,636,-2
601,CO,1740,EWR,199,1/6/2004,814,DCA,0,2,6,N24224,delayed,31,94,94,735,752,17
601,CO,1256,EWR,199,1/6/2004,808,DCA,0,2,6,N38257,ontime,131,131,131,912,1136,144
602,CO,1856,EWR,199,1/6/2004,816,DCA,0,2,6,N59630,delayed,8,58,58,700,700,0
603,CO,727,EWR,199,1/6/2004,806,DCA,0,2,6,N16648,ontime,0,319,319,1422,1350,-32
603,DH,847,EWR,213,1/6/2004,7299,IAD,0,2,6,N307UE,ontime,-2,87,87,730,716,-14
603,DH,1705,EWR,213,1/6/2004,7302,IAD,0,2,6,N674BR,ontime,-5,82,82,725,724,-1
603,DH,1236,EWR,213,1/6/2004,7303,IAD,0,2,6,N645BR,ontime,2,82,82,725,732,7
603,DH,2118,EWR,213,1/6/2004,7304,IAD,0,2,6,N652BR,ontime,0,107,107,750,754,4
605,DH,1435,EWR,213,1/6/2004,7307,IAD,0,2,6,N324UE,ontime,8,216,216,1141,1200,19
605,DH,622,EWR,213,1/6/2004,7371,IAD,0,2,6,N329UE,ontime,0,404,404,949,945,-4
605,RU,2222,EWR,199,1/6/2004,2879,DCA,0,2,6,N14573,delayed,9,369,369,1014,1027,13
605,RU,859,EWR,199,1/6/2004,2582,DCA,0,2,6,N14947,ontime,-4,147,147,832,829,-3
605,RU,1901,EWR,213,1/6/2004,2385,IAD,0,2,6,N16147,delayed,-4,186,186,911,845,-26
605,RU,1457,EWR,213,1/6/2004,2156,IAD,0,2,6,N11137,ontime,-5,174,174,859,849,-10
605,RU,656,EWR,213,1/6/2004,2855,IAD,0,2,6,N17115,ontime,-1,140,140,925,916,-9
605,RU,1644,EWR,199,1/6/2004,2261,DCA,0,2,6,N13958,delayed,-6,120,120,805,743,-22
605,RU,1253,EWR,213,1/6/2004,2367,IAD,0,2,6,N16911,ontime,4,140,140,925,925,0
605,RU,1356,EWR,199,1/6/2004,2216,DCA,0,2,6,N12924,ontime,-3,91,91,736,715,-21
605,RU,1656,EWR,213,1/6/2004,2497,IAD,0,2,6,N19966,ontime,7,157,157,742,750,8
605,RU,1627,EWR,199,1/6/2004,2181,DCA,0,2,6,N13969,ontime,1022,95,95,740,,
605,RU,644,EWR,199,1/6/2004,2761,DCA,0,2,6,N13118,ontime,-8,120,120,805,748,-17
605,OH,1455,JFK,184,1/7/2004,5935,BWI,0,3,7,N983CA,ontime,-8,165,165,750,801,11
605,DH,1639,JFK,213,1/7/2004,6155,DCA,0,3,7,N408FJ,ontime,0,175,175,900,849,-11
605,DH,1306,LGA,229,1/7/2004,7208,IAD,0,3,7,N665BR,ontime,-3,125,125,810,807,-3
605,DH,1445,LGA,229,1/7/2004,7211,IAD,0,3,7,N639BR,ontime,-3,140,140,825,825,0
605,DH,1813,LGA,229,1/7/2004,7215,IAD,0,3,7,N684BR,delayed,-12,88,88,733,717,-16
605,DH,640,LGA,229,1/7/2004,7790,IAD,0,3,7,N634BR,ontime,-2,188,188,913,911,-2
605,DH,1038,LGA,229,1/7/2004,7792,IAD,0,3,7,N328UE,ontime,-8,81,81,726,712,-14
605,DH,831,JFK,228,1/7/2004,7800,IAD,0,3,7,N694BR,ontime,16,172,172,857,925,28
605,DH,1240,JFK,228,1/7/2004,7806,IAD,0,3,7,N309UE,ontime,-5,146,146,831,841,10
605,DH,1521,JFK,228,1/7/2004,7808,IAD,0,3,7,N330UE,ontime,93,188,188,813,941,88
605,DH,1638,JFK,228,1/7/2004,7810,IAD,0,3,7,N320UE,ontime,-4,172,172,857,831,-26
605,DH,1922,JFK,228,1/7/2004,7812,IAD,0,3,7,N332UE,delayed,56,90,90,735,814,39
605,DH,2120,JFK,228,1/7/2004,7814,IAD,0,3,7,N695BR,ontime,-1,109,109,854,852,-2
605,DH,1606,JFK,228,1/7/2004,7816,IAD,0,3,7,N305UE,ontime,8,142,142,927,946,19
605,DL,1501,JFK,213,1/7/2004,746,DCA,0,3,7,N908DE,ontime,-5,116,116,901,837,-24
605,DL,631,LGA,214,1/7/2004,1740,DCA,0,3,7,N223DZ,ontime,-9,177,177,702,643,-19
605,DL,831,LGA,214,1/7/2004,1744,DCA,0,3,7,N242DL,ontime,2,109,109,654,700,6
605,DL,932,LGA,214,1/7/2004,1746,DCA,0,3,7,N225DL,ontime,57,122,122,707,759,52
605,DL,1030,LGA,214,1/7/2004,1748,DCA,0,3,7,N223DZ,ontime,425,70,70,715,,
605,DL,1131,LGA,214,1/7/2004,1750,DCA,0,3,7,N224DA,ontime,526,80,80,725,,
605,DL,1231,LGA,214,1/7/2004,1752,DCA,0,3,7,N242DL,ontime,626,45,45,650,,
605,DL,1329,LGA,214,1/7/2004,1754,DCA,0,3,7,N225DL,ontime,724,45,45,650,,
605,DL,1430,LGA,214,1/7/2004,1756,DCA,0,3,7,N223DZ,ontime,825,60,60,705,,
605,DL,1528,LGA,214,1/7/2004,1758,DCA,0,3,7,N224DA,ontime,923,100,100,745,,
605,DL,1629,LGA,214,1/7/2004,1760,DCA,0,3,7,N242DL,ontime,-5,36,36,641,640,-1
605,DL,1728,LGA,214,1/7/2004,1762,DCA,0,3,7,N225DL,ontime,-3,199,199,724,733,9
605,DL,1828,LGA,214,1/7/2004,1764,DCA,0,3,7,N223DZ,ontime,5,141,141,726,723,-3
606,DL,1927,LGA,214,1/7/2004,1766,DCA,0,3,7,N224DA,ontime,-5,233,233,1159,1157,-2
606,DL,2030,LGA,214,1/7/2004,1768,DCA,0,3,7,N242DL,ontime,-8,189,189,915,838,-37
606,MQ,1530,JFK,213,1/7/2004,4752,DCA,0,3,7,N736MQ,ontime,-7,69,69,715,717,2
607,MQ,555,JFK,213,1/7/2004,4760,DCA,0,3,7,N705MQ,ontime,-6,166,166,853,900,7
607,MQ,1918,JFK,213,1/7/2004,4784,DCA,0,3,7,N846MQ,delayed,-5,77,77,724,715,-9
608,MQ,655,LGA,214,1/7/2004,4952,DCA,0,3,7,N722MQ,ontime,-2,172,172,1000,946,-14
608,MQ,746,LGA,214,1/7/2004,4954,DCA,0,3,7,N723MQ,ontime,-5,163,163,951,930,-21
608,MQ,854,LGA,214,1/7/2004,4956,DCA,0,3,7,N733MQ,ontime,0,137,137,725,729,4
608,MQ,1056,LGA,214,1/7/2004,4960,DCA,0,3,7,N722MQ,ontime,-9,102,102,750,727,-23
609,MQ,1256,LGA,214,1/7/2004,4964,DCA,0,3,7,N726MQ,ontime,-8,32,32,641,637,-4
609,MQ,1352,LGA,214,1/7/2004,4966,DCA,0,3,7,N730MQ,ontime,-10,122,122,911,923,12
610,MQ,1457,LGA,214,1/7/2004,4968,DCA,0,3,7,N703MQ,delayed,-3,66,66,816,803,-13
610,MQ,1624,LGA,214,1/7/2004,4970,DCA,0,3,7,N713MQ,delayed,6,121,121,811,826,15
610,MQ,2014,LGA,214,1/7/2004,4976,DCA,0,3,7,N735MQ,delayed,0,250,250,1220,1156,-24
610,UA,849,LGA,229,1/7/2004,846,IAD,0,3,7,N567UA,ontime,-5,294,294,1404,1335,-29
610,US,628,LGA,214,1/7/2004,1479,DCA,0,3,7,N754UW,ontime,-4,96,96,746,726,-20
610,US,658,LGA,214,1/7/2004,2160,DCA,0,3,7,N725UW,ontime,-7,163,163,953,935,-18
610,US,757,LGA,214,1/7/2004,2162,DCA,0,3,7,N722UW,ontime,147,135,135,825,,
610,US,857,LGA,214,1/7/2004,2164,DCA,0,3,7,N744UW,ontime,-7,135,135,925,919,-6
610,US,956,LGA,214,1/7/2004,2166,DCA,0,3,7,N720UW,ontime,-5,216,216,946,929,-17
610,US,1058,LGA,214,1/7/2004,2168,DCA,0,3,7,N725UW,ontime,-1,215,215,1145,1134,-11
610,US,1157,LGA,214,1/7/2004,2170,DCA,0,3,7,N722UW,ontime,-2,119,119,809,801,-8
610,US,1256,LGA,214,1/7/2004,2172,DCA,0,3,7,N744UW,ontime,1,155,155,845,841,-4
610,US,1354,LGA,214,1/7/2004,2174,DCA,0,3,7,N720UW,ontime,-7,111,111,801,737,-24
610,US,1457,LGA,214,1/7/2004,2176,DCA,0,3,7,N725UW,delayed,10,314,314,1424,1413,-11
610,US,1600,LGA,214,1/7/2004,2178,DCA,0,3,7,N722UW,delayed,-7,155,155,845,831,-14
610,US,1656,LGA,214,1/7/2004,2180,DCA,0,3,7,N744UW,ontime,-7,118,118,808,733,-35
610,US,1758,LGA,214,1/7/2004,2182,DCA,0,3,7,N720UW,ontime,-3,285,285,855,847,-8
610,US,1859,LGA,214,1/7/2004,2184,DCA,0,3,7,N725UW,ontime,-2,155,155,845,814,-31
610,US,1959,LGA,214,1/7/2004,2186,DCA,0,3,7,N722UW,delayed,106,186,186,1016,1149,93
610,US,2054,LGA,214,1/7/2004,2188,DCA,0,3,7,N744UW,ontime,15,163,163,753,812,19
610,RU,659,EWR,169,1/7/2004,2703,BWI,0,3,7,N15574,ontime,-3,119,119,809,806,-3
610,RU,1459,EWR,169,1/7/2004,2403,BWI,0,3,7,N21537,ontime,7,59,59,709,721,12
610,RU,1920,EWR,169,1/7/2004,3372,BWI,0,3,7,N36915,delayed,38,175,175,905,945,40
610,RU,1044,EWR,169,1/7/2004,2303,BWI,0,3,7,N18557,delayed,-1,161,161,851,836,-15
610,CO,1255,EWR,199,1/7/2004,808,DCA,0,3,7,N14654,ontime,-7,105,105,755,730,-25
610,CO,1948,EWR,199,1/7/2004,816,DCA,0,3,7,N60312,delayed,-5,156,156,846,842,-4
610,CO,1813,EWR,199,1/7/2004,814,DCA,0,3,7,N76355,delayed,-10,133,133,723,654,-29
611,CO,728,EWR,199,1/7/2004,806,DCA,0,3,7,N18622,ontime,-8,169,169,1000,932,-28
611,DH,840,EWR,213,1/7/2004,7299,IAD,0,3,7,N695BR,ontime,-4,213,213,944,924,-20
612,DH,1725,EWR,213,1/7/2004,7302,IAD,0,3,7,N696BR,ontime,29,73,73,725,753,28
612,DH,1320,EWR,213,1/7/2004,7303,IAD,0,3,7,N696BR,delayed,708,116,116,708,,
613,DH,2117,EWR,213,1/7/2004,7304,IAD,0,3,7,N628BR,ontime,-5,68,68,721,712,-9
614,DH,624,EWR,213,1/7/2004,7305,IAD,0,3,7,N301UE,ontime,-2,235,235,1209,1156,-13
614,DH,1439,EWR,213,1/7/2004,7307,IAD,0,3,7,N324UE,ontime,-2,223,223,1057,1034,-23
614,RU,1352,EWR,199,1/7/2004,2216,DCA,0,3,7,N18557,ontime,6,42,42,656,707,11
614,RU,731,EWR,213,1/7/2004,2855,IAD,0,3,7,N13903,delayed,-7,115,115,909,859,-10
615,RU,1457,EWR,213,1/7/2004,2156,IAD,0,3,7,N11150,delayed,-10,107,107,902,857,-5
615,RU,856,EWR,199,1/7/2004,2582,DCA,0,3,7,N19966,ontime,14,228,228,1203,1156,-7
615,RU,1254,EWR,213,1/7/2004,2367,IAD,0,3,7,N13538,ontime,136,110,110,805,1001,116
615,RU,1654,EWR,213,1/7/2004,2497,IAD,0,3,7,N13955,ontime,-3,110,110,905,858,-7
615,RU,1955,EWR,213,1/7/2004,2385,IAD,0,3,7,N15527,delayed,-2,175,175,810,806,-4
615,RU,641,EWR,199,1/7/2004,2761,DCA,0,3,7,N16147,ontime,26,185,185,820,,
615,RU,2058,EWR,199,1/7/2004,2879,DCA,0,3,7,N14153,ontime,-2,75,75,730,717,-13
615,RU,1521,EWR,199,1/7/2004,2261,DCA,0,3,7,N11140,ontime,906,164,164,959,,
615,RU,1629,EWR,199,1/7/2004,2181,DCA,0,3,7,N13538,ontime,3,165,165,900,854,-6
615,OH,1455,JFK,184,1/8/2004,5935,BWI,0,4,8,N819cA,ontime,-6,155,155,850,845,-5
615,DH,1640,JFK,213,1/8/2004,6155,DCA,0,4,8,N418FJ,delayed,-8,100,100,755,732,-23
615,DH,1245,LGA,229,1/8/2004,7208,IAD,0,4,8,N682BR,ontime,76,247,247,922,1052,90
615,DH,1706,LGA,229,1/8/2004,7211,IAD,0,4,8,N662BR,delayed,0,165,165,900,908,8
615,DH,1710,LGA,229,1/8/2004,7215,IAD,0,4,8,N680BR,delayed,-2,68,68,823,810,-13
615,DH,2151,LGA,229,1/8/2004,7684,IAD,0,4,8,N667BR,delayed,-4,121,121,916,906,-10
615,DH,648,LGA,229,1/8/2004,7790,IAD,0,4,8,N642BR,ontime,-6,86,86,841,828,-13
615,DH,1036,LGA,229,1/8/2004,7792,IAD,0,4,8,N639BR,ontime,-6,100,100,755,758,3
615,DH,852,JFK,228,1/8/2004,7800,IAD,0,4,8,N631BR,ontime,-7,98,98,853,909,16
615,DH,1237,JFK,228,1/8/2004,7806,IAD,0,4,8,N331UE,ontime,-2,184,184,1119,1035,-44
615,DH,1449,JFK,228,1/8/2004,7808,IAD,0,4,8,N301UE,ontime,1,270,270,1345,1342,-3
615,DH,1639,JFK,228,1/8/2004,7810,IAD,0,4,8,N308UE,ontime,-4,189,189,824,820,-4
615,DH,1714,JFK,228,1/8/2004,7812,IAD,0,4,8,N316UE,ontime,364,55,55,710,1326,376
615,DH,2135,JFK,228,1/8/2004,7814,IAD,0,4,8,N638BR,ontime,-11,95,95,750,726,-24
615,DH,1609,JFK,228,1/8/2004,7816,IAD,0,4,8,N320UE,ontime,-8,45,45,700,649,-11
615,DL,1601,JFK,213,1/8/2004,746,DCA,0,4,8,N962DL,delayed,8,172,172,807,843,36
615,DL,628,LGA,214,1/8/2004,1740,DCA,0,4,8,N223DZ,ontime,6,110,110,805,814,9
615,DL,728,LGA,214,1/8/2004,1742,DCA,0,4,8,N225DL,ontime,-6,51,51,806,754,-12
615,DL,828,LGA,214,1/8/2004,1744,DCA,0,4,8,N242DL,ontime,2,92,92,747,801,14
615,DL,931,LGA,214,1/8/2004,1746,DCA,0,4,8,N224DA,ontime,-6,105,105,700,648,-12
615,DL,1030,LGA,214,1/8/2004,1748,DCA,0,4,8,N223DZ,ontime,415,180,180,915,,
615,DL,1129,LGA,214,1/8/2004,1750,DCA,0,4,8,N225DL,ontime,164,63,63,718,959,161
615,DL,1231,LGA,214,1/8/2004,1752,DCA,0,4,8,N242DL,ontime,616,160,160,855,,
